I,From,To,Dijkstra Time,Dijkstra Relaxed,Bidirectional Dijkstra Time,Bidirectional Dijkstra Relaxed,Contraction Hierarchy Time,Contraction Hierarchy Relaxed
349,1195671448,1778463711,247243600,1481106,413518701,1785757,3314001,11566
350,3415386922,1114992133,99588699,759428,144049400,812781,1424600,6066
351,1137629829,2073427980,318741300,2025450,404609799,1748972,3808300,11751
352,2617899060,1569555558,207527900,1134022,138583700,577567,2644900,11203
353,268810099,66208702,208172600,1204631,145580801,676103,983299,4101
354,2669730891,2306891616,82772400,567334,86885200,495853,1642500,7934
355,558821426,1028799637,7417500,66164,11235101,78344,417000,1638
356,1454211886,4898087255,8874699,75012,7963700,62763,310000,1570
357,1079619383,1622733387,368541800,2324987,420176199,1994309,2122000,8121
358,447046431,2453875807,155968200,847440,185389900,833217,1665599,6561
359,2293078686,252126293,152547199,997011,208553399,984393,2220400,10380
360,444243330,3909705087,360270899,1882613,477256299,1986764,2191100,9875
361,1689548721,256188466,434535400,2164158,429070801,1976292,2067401,8655
362,1137294860,1137710446,74902800,527324,101282200,392567,1192099,6090
363,1295033569,1209565815,313397401,1834597,412886101,1775504,2135700,9302
364,308665076,1243032884,275694000,1709171,192414599,1049311,2067100,11448
365,280547225,244976234,42293099,339925,23768900,159822,862400,4235
366,119607534,3284061677,225027500,1254308,116642699,702643,1632200,8067
367,1153165462,7712508,334674200,2220562,474870699,2040548,1472100,7085
368,4386930044,831049913,156479401,940263,119652100,685470,1626700,8544
369,262228577,3034207162,6805200,66441,3862100,34155,345300,1428
370,3516759151,2395964754,85515301,636586,49904900,312932,1113001,5770
371,1168742171,269936863,140186401,998935,247315200,1128910,2145301,10661
372,986067506,2966751882,34132899,231883,17419500,129669,818101,3845
373,334162700,1581574771,16182200,121971,10194100,69772,522800,2457
374,290350018,1137670632,371277100,2236378,198907000,1104833,1652801,7092
375,725098052,4964091,61790100,446340,69091199,273153,694300,3136
376,301085551,256323742,198391100,1230019,153217500,646319,2111200,7049
377,4576263943,674122741,259919801,1493284,371048200,1781268,2732399,10095
378,617752098,4971289147,348815800,2018678,409492800,1983370,2720701,11414
379,1102566719,896101840,21465000,173191,7294300,60171,557301,2767
380,1579915186,5081781216,84260199,582156,58662700,336220,1146199,5627
381,1281711757,669098730,252926599,1518766,441888200,1988024,3194099,14574
382,1369477643,2693133253,24931101,198036,50409600,278288,683800,2768
383,4198584596,289851255,40832100,268704,25636700,146852,612600,2336
384,1261815581,860910402,259748801,1563787,247352900,1129024,2259400,10887
385,31226176,2229462775,176876499,1045455,484062500,2051467,2700300,11178
386,491552503,4378818600,314734400,1892768,407517799,1757713,2706900,12096
387,442157981,1216800855,331441800,1831765,357663499,1447028,2255400,9431
388,3258985563,1151760152,82313900,506311,59755100,339706,920400,3906
389,303796006,1297455557,15942600,129013,10773401,66737,354600,1086
390,1137443909,885243245,137512300,802072,80216899,416238,1621800,6580
391,4252216056,386871142,145117001,986028,410938701,1946206,2099000,10302
392,2363323909,1274871430,84776600,644465,72107699,411077,1357500,5748
393,1490435284,1119677028,43645400,364870,36569299,243915,603800,2741
394,189059495,391276245,153939400,1035476,47770400,297383,1340499,6438
395,32629322,284852841,165622600,1184891,425282199,2102505,2406200,11636
396,410647087,1731840631,166523701,934373,93655800,532475,1279701,6117
397,4285715547,345856531,30323801,246805,23702699,168256,796500,3422
398,4790270341,1089544362,135285300,898120,62661201,401583,1909100,8308
399,76812761,1229828144,124372100,856777,136951300,760165,1699800,9144
400,3829933223,105097274,331737000,2080338,318829100,1703549,2589201,12508
401,251123850,316320060,416279700,2352657,327107901,1188415,1733700,6628
