I,From,To,Dijkstra Time,Dijkstra Relaxed,Bidirectional Dijkstra Time,Bidirectional Dijkstra Relaxed,Contraction Hierarchy Time,Contraction Hierarchy Relaxed
959,1305726129,2258177694,161899,1129,628499,5078,62000,135
960,1509547512,4059611266,206337999,1451929,217414900,1004034,1736501,7428
961,1914927771,4730392841,381021600,1974076,369406900,1604905,3347300,9085
962,4549357353,1028819397,42918699,303350,75350999,367294,1238601,5631
963,111644116,4366281558,55371800,396882,74483000,409245,1233600,5030
964,1277218350,32994474,261099601,1596186,242721499,1000624,1337700,6115
965,247933199,1420267316,358781900,1889629,423608900,2130284,2359499,11654
966,1138254632,2513187668,50637800,324858,20440500,137943,747200,3842
967,300319565,443747333,355334900,2050553,384245599,1529240,3011900,11908
968,2401522759,654084147,7113001,62160,5340201,38537,248000,1038
969,1576178528,602444220,201114900,929898,67115400,303432,2262199,8097
970,3533096154,3186251689,48331700,285532,58478100,278733,867599,2978
971,255444959,2153613591,54922601,302856,85492000,457582,1647001,5571
972,3505312093,7853946,68467000,390879,28532101,151492,977400,4052
973,683428160,85765641,434338799,2019498,552246801,2004270,2498601,10915
974,26266206,334213067,26458299,195051,6773599,51075,711000,2602
975,2506835597,26526270,344622901,2006255,453051200,1988528,2941601,15179
976,260212329,1441030796,98473500,702001,24886199,176033,682500,3469
977,3479586701,1016919166,135025400,915722,345397300,1535797,1728999,8110
978,1496112583,3724806172,232543199,1477644,171703000,931178,2039100,11231
979,5149953035,1604315113,352930300,2120513,412545500,2039201,2189001,10968
980,296014638,335319851,36473500,266110,12664000,90970,520200,2235
981,1227758264,3211662093,112624399,784072,96281200,534409,1136100,5404
982,3168248834,4244288132,11283901,102243,14644500,96074,527301,2327
983,1303470069,4418680724,105285299,689138,69086799,412501,1020700,4121
984,292019249,1558656851,154895901,852410,69520600,397790,1050799,5463
985,3170100830,745834751,186625600,1190560,129407001,622607,1654800,6715
986,413408734,4198740144,224204100,1451410,170891700,678796,1452100,6796
987,1258865656,390741281,42817701,237336,15400000,88260,892000,3391
988,2229462778,288662772,393794401,2042797,440814499,1907977,2597601,12544
989,339738671,2333040076,372794699,2081207,449070801,2003817,2090400,9634
990,4839251148,1179263010,80601700,528816,120516099,677908,1917400,10332
991,3791966028,1591399725,71521000,522497,75953699,339838,1152600,5926
992,5104206851,260909542,88743800,604277,114824401,616792,1421399,7473
993,1298267000,2852225150,32610999,227304,17975700,126701,577701,2639
994,2216801042,429971111,198501899,1329945,470584400,1920958,2149701,10691
995,1151804013,4052385446,24030299,179473,50898600,286730,1094700,3289
996,334163587,3824426613,478191501,2253000,541703600,2201412,3239700,10924
997,3656785496,265958080,236025501,1274215,127099700,526336,1111201,4448
998,5053624710,1106661721,532745500,2340783,585128000,1907175,7409701,10349
999,333176804,1303189721,310442599,1442652,216376600,692164,1773800,7455
